-1014.2289,-860.1824,-1318.9974,-1136.4011,-1488.3793,-1505.1271,-1100.9851,-1190.4836,-1159.9866,-1313.3514
-1393.1742,-1701.4612,-1522.7483,-1774.5234,-1178.0159,-1216.7312,-1583.1549,-1416.5734,-1754.6888,-1385.4423
-825.52155,-1343.8496,-1070.1445,-1136.8634,-907.98346,-1753.2156,-1609.1802,-1324.1504,-1256.8434,-1096.4512
-1385.1017,-1091.3021,-1496.224,-1007.604,-778.24274,-785.03687,-1271.6211,-1045.8254,-1167.05,-964.8412
-952.7976,-1132.4623,-1048.6351,-1643.3403,-922.9002,-1435.7877,-1188.523,-1306.3549,-1594.6935,-1376.4594
-1821.6575,-992.0313,-1700.3325,-1645.8147,-1325.1859,-1564.8458,-1102.5043,-771.71875,-1219.9829,-1128.019
-1161.6251,-1147.8062,-1120.9672,-1193.8285,-1231.3983,-1065.0315,-1628.5118,-1050.2028,-953.00995,-1000.43744
-1889.923,-1221.4568,-1031.6938,-1439.7539,-1312.2476,-1097.4158,-1229.5452,-1070.5851,-1021.3408,-1019.3493
-1393.6079,-968.0738,-1047.2552,-1226.675,-1318.2957,-1281.3121,-1392.0897,-1390.5232,-1182.0856,-966.1921
-1747.0818,-942.6826,-1846.3318,-1542.1494,-994.04285,-1072.984,-1486.1089,-1453.9475,-1591.8816,-1401.2634
-1271.7306,-1083.3958,-1043.5876,-1565.12,-969.114,-1668.9407,-1479.5907,-1545.9249,-1180.0131,-1405.2694
-1853.8652,-900.60284,-1315.2335,-1624.4792,-897.99493,-1355.6549,-1011.7401,-1112.5499,-900.4405,-972.33435
-1323.3319,-1717.1444,-1672.9746,-1480.9938,-898.8232,-1195.5901,-1172.992,-1192.1753,-1591.0931,-1161.3182
-1052.8796,-1339.5117,-1030.2198,-1386.7505,-1774.192,-1118.4225,-1616.9125,-1484.7401,-850.77576,-1048.9918
-1373.541,-1337.6528,-1064.7616,-1155.4353,-1651.1522,-1432.0555,-972.5296,-1456.02,-1365.0339,-963.0775
-1503.7338,-1384.4902,-1047.6372,-1361.905,-915.11334,-1314.4716,-1350.724,-1216.6171,-1070.6455,-965.5861
-1752.5149,-1070.5006,-1163.9788,-1265.0648,-1512.0203,-886.54596,-1282.7067,-1298.4562,-1228.8972,-1080.1124
-1233.887,-1598.2887,-1130.835,-1183.6155,-1174.3655,-1301.1833,-1110.0443,-762.5543,-1196.8965,-1037.4381
-964.7749,-908.45294,-1783.5563,-1081.0673,-1072.1953,-1440.0006,-1504.9427,-1193.4003,-1520.2122,-1890.9116
-862.0227,-1250.6614,-1178.2112,-1684.0186,-1431.0074,-1471.7753,-1174.5256,-1664.5734,-1713.9507,-1068.9083
-1203.2145,-1744.8529,-1107.3358,-1344.9342,-1249.6929,-1501.3997,-961.67365,-1712.0962,-1609.8037,-1457.5166
-1264.931,-1066.3843,-1772.8014,-1763.0226,-1543.6713,-1665.9966,-1609.1678,-1035.0562,-1294.9358,-1496.0637
-1784.5099,-1792.9939,-1041.2402,-1545.4336,-1519.5754,-1564.9935,-1822.0564,-874.959,-1359.0413,-1454.4144
-1466.69,-764.6774,-1787.502,-1582.1011,-1440.8842,-1528.3384,-1420.9664,-1073.8325,-1538.4133,-1588.4304
-1778.81,-768.87476,-1198.2819,-1712.6239,-1535.8479,-1888.073,-1305.2898,-1226.296,-1598.2942,-1539.7076
-1810.9485,-990.0789,-1233.5864,-1532.7104,-1436.4171,-1460.5197,-1870.5862,-1420.8634,-1283.0872,-1725.9402
